stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
100716-ZAC-PLAT1:2,64,Blvd. A Zacatecas - El Plateado,21.908305,-102.292428,0
100716-ZAC-EBA1:2,65,Blvd. A Zacatecas -Ébano,21.904247,-102.292659,0
100716-PETMEX-LEW1:2,66,Petróleos Mexicanos - Calle Alfredo Lewis,21.899338,-102.292568,0
100716-PETMEX-GERT1:2,67,Petróleos Mexicanos - Gertrudis Berkefer,21.896516,-102.292983,0
100716-PETMEX-HORN1:2,68,Petróleos Mexicanos - Calle Privada Norberto Gómez Hornedo,21.893517,-102.293187,0
100716-PETMEX-GRAV1:2,69,Petróleos Mexicanos - Gran Avenida,21.892438,-102.293957,0
100716-MEX-FRESNI1:2,70,México - Fresnillo,21.890351,-102.293908,0
100716-JOMA-ZARAG1:2,71,Gral. José María Artega - Calle Gral. Ignacio Zaragoza,21.889383,-102.293862,0
100716-JOMA-JARD1:2,72,Gral. José María Artega - Jardín de Zaragoza,21.886806,-102.296544,0
100716-JOPAV-MER1:2,73,José María Morelos y Pavon - Mercado Morelos,21.884691,-102.295681,0
100716-DIAZ-ACEV1:2,74,Dr Jesús Díaz de León - Antonio Acevedo E,21.880077,-102.294179,0
100716-DIAZ-SOL1:2,75,Dr Jesús Díaz de León - Del Sol,21.877746,-102.293392,0
100716-DIAZ-ENCINO1:2,76,Dr Jesús Díaz de León - Jardín del Encino,21.875071,-102.292555,0
100716-AVCR-COLON1:2,77,Av Paseo de la Cruz - Calle Cristobal Colon,21.872444,-102.292382,0
100716-AVJOS-GAND1:2,78,Av José Ma. Chávez - Av Mahatma Gandhi,21.870279,-102.295192,0
100716-AVJOS-LEAGS1:2,79,Av José Ma. Chávez - León Aguascalientes,21.866991,-102.294622,0
100716-AVCONS-AVJOS1:2,80,Av de la Convención de 1914 Sur - Av José Ma. Chávez,21.865296,-102.293684,0
100716-QUAVE-GUATE1:2,81,Quinta Avenida - República de Guatemala,21.865448,-102.298288,0
100716-QUAVE-REPM1:2,82,Quinta Avenida - República Mexicana,21.863204,-102.299232,0
100716-PROL-NEVADO_1:2,83,Prol Paseo de la Asunción - Nevado de Colima,21.858916,-102.299469,0
100716-PROL-DIEGO1:2,84,Prol Paseo de la Asunción - Prol. Diego Fernández Villa,21.855972,-102.301123,0
100716-PROL-OLIVA1:2,85,Prol Paseo de la Asunción - Prof. Enrique Olivares Santana,21.853423,-102.301211,0
100716-PROL-MARIAN1:2,86,Prol Paseo de la Asunción - Av Dr Mariano Azuela,21.851071,-102.301164,0
100716-PROL-JULIAN1:2,87,Prol Paseo de la Asunción - Gral. Julián Medina,21.847127,-102.301451,0
100716-PROL-SIXXI1:2,88,Prol Paseo de la Asunción - Avenida Siglo Xxi,21.845615,-102.301619,0
100716-SIXXI-LAZCAR1:2,89,Avenida Siglo XXI - Lázaro Cardenas,21.844834,-102.310305,0
100716-SIXXI-PADUA1:2,90,Avenida Siglo XXI - Padua,21.844246,-102.312324,0
100716-SIXXI-SANANT1:2,91,Avenida Siglo XXI - San Antonio,21.842781,-102.31767,0
100716-MAES-MOREL1:2,92,Av. de los Maestros - Morelos,21.846433,-102.320257,0
100716-MAES-REV1:2,93,Av. de los Maestros - Av Revolución,21.848691,-102.319305,0
100716-CAMI-LUIS1:2,94,Ing. Camilo Arriaga -Gral. Maclovio Herrera,21.849711,-102.316358,0
